"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"349","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:54:27","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"350","RT @Ymmagee: iPhone 8: the best gift for everyone on your wish list. IamVZ  ","2017-12-17 10:44:26","TRUE","1","0","1","Apple Iphone","Austin","USA",FALSE
"351","20091220-Hope-for-Those-Outside-the-Church Is now playing, LIVE! on Mike Churchs The CRUSADE TalkRadio Channel!  ","2017-12-17 10:41:39","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"352","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:40:27","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"353","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:38:55","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"354","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:32:52","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"355","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:25:58","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"356","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:20:29","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"357","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:18:06","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"358","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:17:15","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"359","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 10:05:19","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"360","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-17 09:58:13","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"361","20091213-Prophecy-Fulfilled-A-Mark-of-the-True-Church Is now playing, LIVE! on Mike Churchs The CRUSADE TalkRadio  ","2017-12-17 09:52:09","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"362","Why cant Apple make their iPhone charges as long as there Apple Watch chargers?","2017-12-17 09:42:21","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
