"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1455","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-12 00:37:33","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1456","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-12 00:36:23","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1457","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:31:57","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1458","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:26:29","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1459","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:23:20","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1460","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:11:27","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1461","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:05:58","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1462","RT @SusieQpon: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-12 00:00:02","TRUE","138","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1463","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:56:28","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1464","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:52:27","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1465","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:47:22","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1466","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 23:46:50","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1467","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:43:44","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1468","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:41:58","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1469","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:37:21","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1470","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:36:46","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1471","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:32:06","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1472","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:29:08","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1473","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:24:41","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1474","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-11 23:23:57","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1475","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 23:20:48","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
